id,quiz,answer
1,야구공의 실밥 개수는?(숫자만 입력),108
2,대한민국 국보 1호의 이름은?,숭례문
3,인플레이션의 반대말로; 경제 전반에서 물가가 하락하는 현상은?,디플레이션
4,가장 많은 언어로 번역된 책은?,성경
5,네 개의 신분으로 나뉘어 있는 인도의 신분 제도의 이름은?,카스트 제도
6,높은 지위나 명예를 가진 사람에게 요구되는 도덕적 의무를 뜻하는 용어는?,노블레스 오블리주
7,의회에서 다수당의 일방적인 법안 처리를 막기 위해 장시간 발언으로 국회의 의사진행을 지연시키는 행위를 가리키는 말은?,필리버스터
8,영화 등의 줄거리에서 중요하지 않은 것을 중요한 것처럼 묘사하여 관객의 주의를 끄는 일종의 트릭을 뜻하는 용어는?,맥거핀
9,세계 수학자 대회에서 4년마다 수여하는 상으로; 수학계의 노벨상이라 불리는 상은?,필즈상
10,작동 원리는 복잡하나 하는 일은 매우 단순한; 재미만을 추구한 비효율적인 장치를 이르는 말은?,골드버그 장치
11,노벨상을 패러디하여 만들어진 상으로; 재미있고 엉뚱한 연구에 주는 상은?,이그노벨상
12,넘어가는 순간 외부와 완전히 단절되는 블랙홀의 경계를 뜻하는 말은?,사건의 지평선
13,메이플 시럽은 어떤 나무의 진액인가?,단풍나무
14,최악의 비밀번호 1위에 선정된 비밀번호는?(6글자),123456
15,우리나라 국보 제32호인 팔만대장경은 외적인 침략을 막기 위해 만든 것이다. 어느 나라의 침입을 막기 위한 것인가?,몽골
16,독버섯처럼 독소가 함유된 음식물에 닿으면 변색이 되어 독소 유무를 판별할 수가 있는 금속은?,은
17,흔히 성가시고 귀찮은 일이 생겼을 때 골치가 아프다 라고 말한다. 이때 골치의 뜻은?,뇌
18,태양계에서 가장 큰 행성은?,목성
19,18세기 중엽 영국에서 시작된 기술혁신과 이에 수반하여 일어난 사회 · 경제 구조의 변혁을 무엇이라 할까?,산업혁명
20,용액의 산성; 염기성을 판단하는데 쓰이는 종이의 이름으로; 산성은 붉은색; 염기성은 푸른색을 띈다. 이 종이의 이름은?,리트머스
21,신축 건물안에서 거주자들이 느끼는 건강상 문제 및 불쾌감을 이르는 이 용어는?,새집증후군
22,눈 앞에 먼지나 벌레같은 무언가가 떠다니는 것처럼 느끼는 증상이며; 시선위치에 따라 따라다니기도 하는 이 증상은?,비문증
23,주위에 사람들이 많을 수록 어려움에 처한 사람을 돕지 않게 되는 현상을 뜻하는 이 심리학 용어는?,방관자 효과
24,작은 변화가 폭풍우와 같은 커다란 변화를 유발시키는 현상을 말하는 이 용어는?,나비효과
25,그리스로마신화 중 다이달로스의 아들이며 어리석음과 과욕을 상징하는 인물로; 바다에 추락하여 사망한 이 인물은?,이카루스
26,웹에서 최상의 비트맵 이미지를 구현하기 위해 W3C에서 제정한 파일 포맷으로; GIF의 대안인 이 확장자는?,PNG
27,세계 최초로 안락사를 합법화한 나라는?,네덜란드
28,17세기 조선 숙종 때의 문신이자 소설가인 서포 김만중이 쓴 유명한 한글 소설인 이것의 이름은?,구운몽
29,산소; 이산화탄소; 질소; 수소 중 가장 가벼운 기체는?,수소
30,심부름을 가서 오지 아니하거나 늦게 온 사람을 뜻하는 사자성어는?,함흥차사
31,조선 인조 14년에 청나라가 조선에 침입하여 벌어진 전쟁으로 남한산성에서 항전하였으나 삼전도에서 굴복했던 전쟁의 이름은?,병자호란
32,지구에서 가장 큰 바다는?,태평양
33,영국(Britain)과 탈퇴(Exit)를 뜻하는 합성어로 영국의 유럽연합(EU) 탈퇴를 뜻하는 이 말은?,브렉시트
34,도롱뇽은 00동물이다. 이 00 안에 들어갈 글자는 무엇인가?,척추
35,도시가 급격하게 발전하면서 인구와 산업 등이 지나치게 집중되고 이로 인하여 도시 주변 지역이 무계획적이고 무질서하게 확대되는 현상을 무엇이라고 할까?,스프롤 현상
36,다른 나라와의 통상과 교육을 금지하는 정책으로; 주로 흥선대원군 집권 시기의 대외정책을 표현하는 이 정책의 이름은?,쇄국정책
37,심장의 전기전달체계의 이상으로 심장박동이 불규칙적으로 나타나는 이 질병은?,부정맥
38,삼국지에서 유비·관우·장비가 복숭아 밭에서 의형제를 맺은데서 비롯된 이 고사성어는?,도원결의
39,고대 중국의 병법서로; 저자는 춘추시대의 손무. 지피지기면 백전불태라는 말은 이 책의 한 부분이기도 하다. 이 책의 이름은?,손자병법
40,아일랜드 시인 윌리엄 예이츠가 천사의 실수라고 표현했던 이것은 무엇일까?,보조개
41,조선시대에서 왕의 얼굴을 칭하던 단어는?,용안
42,고대 게르만족의 신으로; 던지기만 하면 반드시 적을 쓰러트린다는 '묠니르'라는 철퇴를 사용한다. 이 인물은?,토르
43,죽기 전에 꼭 해보고 싶은 일; 보고 싶은 것 등을 적은 목록. 후회없는 삶을 위해 적는 리스트를 의미하는 이것은?,버킷 리스트
44,약 480만년 전부터 4천년까지 존재했던 포유류. 긴 코와 4m 길이의 어금니를 가졌으며 온몸에 보온용 털이 나 있다. 이 동물의 이름은?,매머드
45,국악기 중 현악기; 두 줄로 된 찰현악기로 깡깡이; 앵금 등의 이름으로도 불린 이 악기는?,해금
46,피부; 혈관; 뼈; 치아; 근육 등 대부분 동물들에게서 발견되는 모든 결합조직의 주된 단백질인 이 요소는?,콜라겐
47,제우스와 세멜레 사이에서 태어난 아들로 로마신화에서는 바카스라고도 하며; 술의 신이라고 불리는 이 인물은?,디오니소스
48,환자가 치유에 대한 확신이 없어; 여러 병원을 돌아다니면서 과잉 진료를 받는 현상을 뭐라고 하는가?,닥터쇼핑
49,면역기능에 이상이 발생하여 우리 몸의 면역세포들이 우리 몸의 장기나 조직을 공격하는 질환의 이름은?,자가면역질환
50,현실에 존재하지 않는 나라이며; 일반적으로 이상향을 가리키는 말로 꿈의 장소를 일컫는다. 이 단어는?,유토피아
51,척추동물의 적혈구 속에 있는 색소 단백질로 혈액이 붉은것은 적혈구 속 이것의 색깔 때문이다. 이것은 무엇인가?,헤모글로빈
52,본인의 의지와 무관하게 어떤 생각이나 장면이 떠올라 불안해져 특정 행동을 반복하게 되는 이 질환은?,강박증
53,1주 동안 규정된 근무일수를 다 채운 근로자에게 1일 임금을 추가로 지급해주는 이 수당은?,주휴수당
54,성모 마리아가 죽은 그리스도를 안고 있는 동상으로 미켈란젤로의 3대 조각작품 중 하나인 이것의 이름은?,피에타
55,지구 생명체의 기반이며; 흑연; 다이아몬드 등 여러 화합물을 만들어 낼 수 있는 이 원소의 이름은?,탄소
56,당신'과 '브라운관'의 합성어로 구글이 현재까지도 운영하는 동영상 공유 서비스인 이 사이트의 이름은?,유튜브
57,기업이 임직원에게 일정수량의 자기 회사의 주식을 일정한 가격으로 매수할 수 있는 권리를 부여하는 제도의 이름은?,스톡옵션
58,민중을 뜻하는 라틴어 포풀루스에서 유래한 대중의 견해와 바람을 대변하고자 하는 정치 사상 및 활동을 가르키는 이 용어는?,포퓰리즘
59,동영상 서비스인 유튜브에서 전세계 이용자들의 개별 특색을 분석하여 좋아할 만한 영상을 알아서 제공해주는 것을 무엇이라고 할까?,알고리즘
60,영향력이 있는 개인이라는 뜻으로; 소셜미디어 상에서 수만~수십만 명의 팔로워를 보유하고 트렌드를 선도하는 인물을 일컫는 말은?,인플루언서
61,고지방 저탄수화물 다이어트가 유행하면서 인기를 얻은 진한 원두커피에 버터와 오일을 섞어 만든 다이어트용 커피인 이것은 무엇일까?,방탄커피
62,락카 스프레이 페인트 등을 이용해 주로 공공장소 벽면에 그림을 그리거나 글자 및 기타 흔적을 남기는 행위인 이것은?,그래피티
63,매우 무거운 별의 최후 중 하나로; 중력이 매우 강해 빛조차 빨아들이는 이것의 이름은?,블랙홀
64,일이 좀처럼 풀리지 않고 갈수록 꼬이기만 하는 경우에 쓰이는 말로; 00의 법칙이라 한다. 00 안에 들어갈 단어는?,머피
65,상대의 레이더; 탐지기 및 육안에 의한 모든 탐지기능에 대항하는 은폐 기술인 이것은 무엇일까?,스텔스
66,과거 같은 양의 금에 견줄 정도로 비싸 검은 황금이라 불리던 향신료의 이름은?,후추
67,질량을 가진 모든 물체 사이에 작용하는 서로 끌어당기는 힘을 무엇이라 하는가?,만유인력
68,프랑스어로는 경의와 존경; 감사를 뜻하며; 영화에서 다른 작품에서의 감명깊은 대사나 장면을 인용하여 표현하는 행위를 무엇이라고 할까?,오마주
69,혈당은 혈액 속에 함유되어 있는 이것을 의미한다. 이것은 무엇인가?,포도당
70,뼈와 치아의 구성 요소이며; 근육과 신경 기능 조절; 혈액응고 등의 기능을 하는 원소는 무엇인가?,칼슘
71,중국 요리의 대표인 ‘멘보샤’에서 ‘멘’은 빵을 뜻한다. 그렇다면 ‘샤’는 무슨 뜻일까?,새우
72,우주는 거대한 폭발로 인해 시작되었다는 이론의 이름은?,빅뱅이론
73,중추신경계의 신경전달물질 중 하나로 쾌락이나 활력; 흥분 같은 감정을 느낄 때 나오는 호르몬의 이름은 무엇인가?,도파민
74,이것은 미국 표준협회에 의해 결정되어 국제적으로 널리 사용되고 있는 숫자 또는 문자; 특수 문자 등에 부여한 7비트 부호 체계이다. 이것은 무엇일까?,아스키코드
75,운문 문학에서 첫 번째 연이나 행을 마지막 연이나 행에 다시 반복하는 것을 말하는 이 사자성어는 무엇인가?,수미상관
76,컴퓨터 스스로가 외부 데이터를 조합; 분석하여 자가 학습하는 기술은 무엇인가?,딥러닝
77,주식에서 소액을 운용하는 일반 주식투자자를 뭐라고 부르는가?,개미
78,김을 세는 단위를 톳이라고 한다. 이때 한 톳의 장수는? (숫자만 입력),100
79,타지에서 고향을 그리워함으로써 생기는 병의 이름은?,향수병